timestamp,city,aqi,pm25,pm10,no2,co,o3,so2,nh3,temperature,humidity,pressure,wind_speed,hour,day_of_week,month,aqi_lag_1h,aqi_lag_3h,aqi_change
2026-06-18 13:55:20,Karachi,3,16.68,72.53,0.06,74.78,48.43,0.31,0.0,29.5,73,1004,6.34,13,3,6,3.0,3.0,0.0
2026-06-18 16:50:39,Karachi,3,16.38,69.69,0.06,78.41,56.44,0.29,0.0,28.77,77,1005,7.56,16,3,6,3.0,3.0,0.0
2026-06-18 19:15:06,Karachi,3,16.9,73.28,0.06,76.31,53.62,0.31,0.0,28.58,77,1006,6.28,19,3,6,3.0,3.0,0.0
2026-06-18 21:56:19,Karachi,3,15.21,67.63,0.06,71.82,46.25,0.31,0.0,28.04,79,1004,5.75,21,3,6,3.0,3.0,0.0
2026-06-18 23:29:23,Karachi,3,14.19,63.64,0.06,71.7,46.76,0.29,0.0,28.01,80,1004,5.74,23,3,6,3.0,3.0,0.0
2026-06-19 02:54:10,Karachi,3,11.85,56.02,0.06,70.48,46.81,0.29,0.0,29.03,75,1005,7.68,2,4,6,3.0,3.0,0.0
2026-06-19 08:24:48,Karachi,3,11.42,52.48,0.04,72.28,48.38,0.26,0.0,30.5,71,1005,8.35,8,4,6,3.0,3.0,0.0
2026-06-19 12:39:59,Karachi,3,12.43,54.91,0.05,71.28,42.81,0.28,0.0,29.85,74,1003,9.32,12,4,6,3.0,3.0,0.0
2026-06-19 15:55:14,Karachi,2,11.67,49.7,0.07,72.03,43.14,0.28,0.0,28.7,81,1006,7.57,15,4,6,3.0,3.0,-1.0
2026-06-19 17:46:54,Karachi,3,11.87,50.82,0.07,73.5,45.85,0.29,0.0,28.43,79,1006,7.49,17,4,6,2.0,3.0,1.0
2026-06-19 19:24:34,Karachi,3,12.14,51.8,0.06,73.98,46.78,0.3,0.0,28.4,80,1006,6.76,19,4,6,3.0,3.0,0.0
2026-06-19 21:00:24,Karachi,3,12.69,53.92,0.06,74.03,47.31,0.3,0.0,27.95,82,1005,7.45,21,4,6,3.0,2.0,0.0
2026-06-19 22:43:00,Karachi,3,13.04,55.12,0.06,74.28,48.04,0.3,0.0,27.95,81,1004,7.74,22,4,6,3.0,3.0,0.0
2026-06-19 23:59:38,Karachi,3,13.07,54.29,0.06,74.34,48.35,0.3,0.0,27.84,82,1005,7.47,23,4,6,3.0,3.0,0.0
2026-06-20 03:52:26,Karachi,3,12.43,53.37,0.05,74.48,48.49,0.29,0.0,29.37,75,1007,8.1,3,5,6,3.0,3.0,0.0
2026-06-20 07:42:28,Karachi,3,11.93,53.6,0.04,73.39,44.77,0.27,0.0,30.32,71,1005,7.91,7,5,6,3.0,3.0,0.0
2026-06-20 10:25:54,Karachi,3,11.89,54.76,0.03,74.06,44.42,0.27,0.0,30.63,70,1004,8.07,10,5,6,3.0,3.0,0.0
2026-06-20 12:22:50,Karachi,3,12.97,60.09,0.04,74.33,44.11,0.28,0.0,30.08,72,1004,7.87,12,5,6,3.0,3.0,0.0
2026-06-20 14:59:31,Karachi,3,12.84,55.06,0.07,72.9,41.67,0.29,0.0,28.89,77,1005,7.74,14,5,6,3.0,3.0,0.0
2026-06-20 16:20:07,Karachi,3,12.71,54.63,0.07,73.88,43.49,0.29,0.0,28.79,78,1006,7.44,16,5,6,3.0,3.0,0.0
2026-06-20 18:04:48,Karachi,3,11.97,52.28,0.06,75.94,48.14,0.29,0.0,28.49,78,1007,6.84,18,5,6,3.0,3.0,0.0
2026-06-20 20:11:02,Karachi,3,11.52,50.41,0.06,75.29,49.04,0.3,0.0,28.23,81,1005,6.73,20,5,6,3.0,3.0,0.0
2026-06-20 21:59:20,Karachi,2,11.07,48.61,0.06,73.58,48.09,0.3,0.0,28.08,80,1004,6.96,21,5,6,3.0,3.0,-1.0
2026-06-20 23:09:44,Karachi,2,10.74,46.45,0.06,72.98,47.78,0.29,0.0,28.04,78,1004,7.17,23,5,6,2.0,3.0,0.0
2026-06-21 02:40:44,Karachi,2,10.75,47.24,0.06,71.46,46.13,0.29,0.0,28.87,73,1006,7.5,2,6,6,2.0,3.0,0.0
2026-06-21 07:25:16,Karachi,2,11.08,48.97,0.04,71.63,44.56,0.28,0.0,30.37,67,1004,8.16,7,6,6,2.0,2.0,0.0
2026-06-21 10:59:03,Karachi,3,12.34,55.85,0.04,71.77,41.25,0.29,0.0,30.31,68,1003,8.64,10,6,6,2.0,2.0,1.0
